rank,candidate_id,candidate_name,final_fit_score,similarity_score,required_skill_score,important_skill_score,matched_required_skills,matched_important_skills,missing_required_skills
1,KG_01762,Kaggle Candidate 1762,35.61,5.38,83.33,25,"data cleaning, data visualization, sql, statistics, tableau",python,excel
2,KG_01339,Kaggle Candidate 1339,35.25,4.66,83.33,25,"data visualization, excel, sql, statistics, tableau",python,data cleaning
3,KG_00717,Kaggle Candidate 717,29.28,4.39,66.67,25,"data visualization, excel, sql, tableau",communication,"data cleaning, statistics"
4,KG_01303,Kaggle Candidate 1303,28.37,6.74,50,50,"excel, sql, tableau","power bi, python","data cleaning, data visualization, statistics"
5,KG_00316,Kaggle Candidate 316,27.33,4.65,50,50,"excel, sql, statistics","communication, python","data cleaning, data visualization, tableau"
6,KG_00926,Kaggle Candidate 926,25.97,1.94,50,50,"data visualization, sql, tableau","communication, python","data cleaning, excel, statistics"
7,KG_00332,Kaggle Candidate 332,24.98,7.46,50,25,"excel, sql, tableau",python,"data cleaning, data visualization, statistics"
8,KG_01142,Kaggle Candidate 1142,24.25,5.99,50,25,"excel, sql, tableau",communication,"data cleaning, data visualization, statistics"
9,KG_01091,Kaggle Candidate 1091,24.25,5.99,50,25,"excel, sql, tableau",communication,"data cleaning, data visualization, statistics"
10,KG_02077,Kaggle Candidate 2077,23.09,3.69,50,25,"excel, sql, statistics",communication,"data cleaning, data visualization, tableau"
11,KG_01040,Kaggle Candidate 1040,22.88,3.25,50,25,"excel, statistics, tableau",communication,"data cleaning, data visualization, sql"
12,KG_00662,Kaggle Candidate 662,22.87,3.24,50,25,"excel, sql, tableau",python,"data cleaning, data visualization, statistics"
13,KG_01273,Kaggle Candidate 1273,22.79,3.07,50,25,"data visualization, sql, tableau",a/b testing,"data cleaning, excel, statistics"
14,KG_01627,Kaggle Candidate 1627,22.72,2.94,50,25,"excel, statistics, tableau",communication,"data cleaning, data visualization, sql"
15,KG_01348,Kaggle Candidate 1348,21.82,1.14,50,25,"excel, sql, statistics",python,"data cleaning, data visualization, tableau"
16,KG_00268,Kaggle Candidate 268,21.7,5.07,33.33,50,"excel, sql","communication, python","data cleaning, data visualization, statistics, tableau"
17,KG_00564,Kaggle Candidate 564,21.42,4.5,33.33,50,"excel, sql","communication, python","data cleaning, data visualization, statistics, tableau"
18,KG_01218,Kaggle Candidate 1218,20.85,10.86,33.33,25,"data visualization, sql",python,"data cleaning, excel, statistics, tableau"
19,KG_00778,Kaggle Candidate 778,19.82,4.64,50,0,"excel, sql, tableau",,"data cleaning, data visualization, statistics"
20,KG_00336,Kaggle Candidate 336,19.65,4.29,50,0,"excel, sql, statistics",,"data cleaning, data visualization, tableau"
21,KG_01732,Kaggle Candidate 1732,19.61,0.88,33.33,50,"sql, statistics","communication, python","data cleaning, data visualization, excel, tableau"
